OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-31523,2024-046V,2024-11-28T13:35:29.996160,15.30197421,.0001283,53.1593,160.4605,96.7778,263.3369,0,U,59220,999,4167,.68806E-4,.1679E-4,0
STARLINK-31516,2024-046W,2024-11-28T12:59:01.964544,15.30199559,.0001184,53.1578,160.2981,98.8364,261.2771,0,U,59221,999,4146,.52189E-4,.1187E-4,0
STARLINK-31490,2024-046X,2024-11-28T12:34:53.343264,15.30182970,.0001204,53.1594,160.9040,88.1840,271.9299,0,U,59222,999,4166,.387E-4,.787E-5,0
STARLINK-31420,2024-046Y,2024-11-28T18:46:32.046240,15.30200492,.0001517,53.1590,159.6722,79.6770,280.4402,0,U,59223,999,4170,.17711E-4,.165E-5,0
STARLINK-31304,2024-049A,2024-11-28T22:31:43.540896,15.40676375,.0002207,43.0013,264.4259,258.7887,101.2721,0,U,59231,999,4103,-.46904E-3,-.19831E-3,0
STARLINK-31305,2024-049B,2024-11-28T12:20:00.098592,15.40690548,.0001754,43.0009,266.3756,281.2434,78.8225,0,U,59232,999,4097,.26644E-4,.809E-5,0
STARLINK-31459,2024-049C,2024-11-28T20:13:13.908576,15.40656331,.000215,43.0025,264.5418,281.0715,78.9899,0,U,59233,999,4103,.71963E-4,.2699E-4,0
STARLINK-31438,2024-049D,2024-11-28T20:48:41.093856,15.40706703,.0001523,43.0018,264.7305,267.3979,92.6703,0,U,59234,999,4102,.97577E-4,.3775E-4,0
STARLINK-31467,2024-049E,2024-11-29T02:29:52.438560,15.40679703,.000133,43.0043,263.0653,294.7985,65.2733,0,U,59235,999,4113,.75014E-4,.2829E-4,0
STARLINK-31444,2024-049F,2024-11-28T18:01:24.857760,16.06136297,.0001154,42.9753,240.6558,136.2056,223.8916,0,U,59236,999,4129,.10438E-4,.5328E-4,.86429E-5
STARLINK-31505,2024-049G,2024-11-28T20:10:00.349248,15.40708775,.0001208,42.9988,264.5331,269.6992,90.3726,0,U,59237,999,4104,-.82379E-4,-.3744E-4,0
STARLINK-31494,2024-049H,2024-11-28T12:49:00.948864,15.40703844,.0000919,43.0065,266.5256,312.5703,47.5076,0,U,59238,999,4099,.1815E-3,.7286E-4,0
STARLINK-31303,2024-049J,2024-11-28T21:04:17.657760,15.40643979,.0001213,43.0021,262.1682,245.9328,114.1402,0,U,59239,999,4105,-.1952E-3,-.8433E-4,0
STARLINK-31408,2024-049K,2024-11-28T12:45:34.817472,15.40711628,.0002911,43.0097,265.6416,252.3974,107.6565,0,U,59240,999,4098,.1038E-3,.4036E-4,0
STARLINK-31427,2024-049L,2024-11-29T02:00:37.552608,15.40683387,.0002609,43.0011,262.0160,276.7157,83.3403,0,U,59241,999,4113,-.10416E-3,-.465E-4,0
STARLINK-31423,2024-049M,2024-11-29T01:51:07.152768,15.40697280,.0001712,43.0027,262.8586,275.5658,84.5003,0,U,59242,999,4112,.16344E-3,.6529E-4,0
STARLINK-31433,2024-049N,2024-11-29T04:06:29.055168,15.40648308,.00014,42.9963,262.7091,265.0008,95.0688,0,U,59243,999,4107,-.49962E-4,-.2386E-4,0
STARLINK-31285,2024-049P,2024-11-29T02:52:27.184512,15.40677411,.0001331,42.9996,263.1849,303.5263,56.5466,0,U,59244,999,4106,.14357E-3,.5694E-4,0
STARLINK-31268,2024-049Q,2024-11-29T02:50:32.654400,15.40682697,.0001787,43.0021,257.0331,262.0575,98.0079,0,U,59245,999,4113,.1176E-3,.4609E-4,0
STARLINK-31284,2024-049R,2024-11-29T04:09:37.258560,15.40733298,.000323,43.0018,262.7253,274.8007,85.2481,0,U,59246,999,4107,.12249E-3,.4822E-4,0
STARLINK-31424,2024-049S,2024-11-28T20:42:15.127776,15.40678369,.0001272,43.0008,264.6930,274.1075,85.9636,0,U,59247,999,4103,.14374E-3,.5701E-4,0
STARLINK-31405,2024-049T,2024-11-28T12:10:18.514272,15.40697650,.0002195,43.0019,266.3170,301.7359,58.3284,0,U,59248,999,4098,.1079E-3,.4206E-4,0
STARLINK-31426,2024-049U,2024-11-28T19:44:12.938208,15.40686847,.0001681,43.0038,264.3772,264.5411,95.5254,0,U,59249,999,4103,-.97454E-4,-.437E-4,0
STARLINK-31407,2024-049V,2024-11-28T20:51:56.020032,15.40710058,.0002279,43.0061,264.7453,254.6002,105.4603,0,U,59250,999,4103,-.34965E-4,-.1765E-4,0
STARLINK-31418,2024-049W,2024-11-28T22:00:00.999936,15.53586430,.0011999,42.9996,261.4751,194.8350,224.8095,0,U,59251,999,580,.1218E-2,.80315E-3,0
STARLINK-31393,2024-049X,2024-11-29T02:16:46.997760,15.40675122,.0003306,43.0048,262.1301,276.1764,83.8716,0,U,59252,999,4113,-.58354E-4,-.274E-4,0
STARLINK-31425,2024-049Y,2024-11-28T12:39:21.044160,15.40690585,.0001173,43.0024,266.4766,295.7689,64.3046,0,U,59253,999,4097,.95079E-4,.3669E-4,0
STARLINK-31659,2024-050A,2024-11-28T07:20:08.177280,15.30186243,.0001324,53.1603,185.1368,107.0772,253.0374,0,U,59254,999,4032,.78148E-4,.1955E-4,0
STARLINK-31629,2024-050B,2024-11-29T02:20:10.517280,15.30206462,.0001136,53.1596,183.6738,99.5319,260.5810,0,U,59255,999,4042,-.88306E-4,-.2974E-4,0
STARLINK-31652,2024-050C,2024-11-28T15:03:33.783840,15.30212382,.0001133,53.1614,185.7173,86.5305,273.5825,0,U,59256,999,3919,-.14177E-4,-.779E-5,0
STARLINK-31655,2024-050D,2024-11-29T04:00:01.999584,15.70709481,.001417,53.1447,160.1850,231.3905,164.2093,0,U,59257,999,4075,-.68383E-2,-.793898E-2,0
STARLINK-31637,2024-050E,2024-11-28T22:44:42.458496,15.30193287,.0000682,53.1595,184.1628,75.5211,284.5865,0,U,59258,999,4040,.64736E-4,.1559E-4,0
STARLINK-31506,2024-050F,2024-11-28T13:43:11.182944,15.30193831,.0000896,53.1584,186.0826,103.5666,256.5434,0,U,59259,999,4034,.25936E-4,.409E-5,0
STARLINK-31288,2024-050G,2024-11-28T22:06:52.139520,15.30207964,.0001069,53.1593,184.7041,105.3714,254.7405,0,U,59260,999,4039,.122E-3,.3257E-4,0
STARLINK-31639,2024-050H,2024-11-28T19:41:09.842784,15.30194196,.0000798,53.1591,184.7903,101.1352,258.9739,0,U,59261,999,3922,.40217E-4,.832E-5,0
STARLINK-31673,2024-050J,2024-11-29T00:37:00.462720,15.30184312,.0000833,53.1589,183.9395,116.2335,243.8752,0,U,59262,999,4041,-.436E-4,-.1649E-4,0
STARLINK-31598,2024-050K,2024-11-28T22:25:07.181760,15.30188071,.0001767,53.1577,184.7604,96.6972,263.4230,0,U,59263,999,4038,.13316E-3,.3585E-4,0
STARLINK-31645,2024-050L,2024-11-28T13:58:22.360800,15.30186108,.0001135,53.1573,186.1428,111.4855,248.6267,0,U,59264,999,3918,-.29351E-4,-.1228E-4,0
STARLINK-31646,2024-050M,2024-11-28T07:51:16.182432,15.30215892,.0001266,53.1594,187.3939,85.2717,274.8429,0,U,59265,999,3914,.12432E-3,.3326E-4,0
STARLINK-31648,2024-050N,2024-11-28T15:08:06.732672,15.30200339,.0001079,53.1598,185.7364,85.1603,274.9521,0,U,59266,999,3919,.11754E-3,.3124E-4,0
STARLINK-31579,2024-050P,2024-11-28T13:53:49.467264,15.30193851,.0000991,53.1590,186.1260,74.0518,286.0592,0,U,59267,999,4034,.60601E-4,.1436E-4,0
STARLINK-31627,2024-050Q,2024-11-28T23:50:02.766912,15.30201841,.0001728,53.1586,184.4327,153.9576,206.1512,0,U,59268,999,4040,.14855E-3,.4043E-4,0
