OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
TIANMU-1 13,2023-205C,2024-11-29T02:44:33.555264,15.18498862,.000979,97.3920,355.1530,153.3078,206.8662,0,U,58647,999,5149,.55705E-3,.11445E-3,0
TIANMU-1 14,2023-205D,2024-11-29T02:21:24.228576,15.18492497,.001023,97.3845,354.8413,157.9092,202.2585,0,U,58648,999,5149,.58293E-3,.1198E-3,0
TIANMU-1 19,2023-208A,2024-11-29T03:36:49.889952,15.19184669,.0007063,97.4205,82.9277,143.3928,216.7790,0,U,58660,999,5117,.76989E-3,.16161E-3,0
TIANMU-1 20,2023-208B,2024-11-29T02:35:48.365952,15.20413069,.0009627,97.4140,82.9658,155.4674,204.7021,0,U,58661,999,5119,.76136E-3,.16572E-3,0
TIANMU-1 21,2023-208C,2024-11-29T02:48:27.669024,15.21733914,.0009226,97.4179,83.5817,155.0449,205.1235,0,U,58662,999,5122,.80943E-3,.18319E-3,0
TIANMU-1 22,2023-208D,2024-11-29T03:37:33.461472,15.19427079,.000515,97.4197,83.0163,162.5754,197.5659,0,U,58663,999,5118,.7263E-3,.15343E-3,0
TIANMU-1 15,2024-004A,2024-11-28T21:30:38.730240,15.18505717,.0008646,97.4597,152.3776,184.0627,176.0538,0,U,58700,999,4973,.67633E-3,.13913E-3,0
TIANMU-1 16,2024-004B,2024-11-29T03:23:19.542624,15.18435011,.0008753,97.4523,152.3469,186.1695,173.9433,0,U,58701,999,4977,.63841E-3,.13101E-3,0
TIANMU-1 17,2024-004C,2024-11-29T03:02:49.980768,15.18508578,.0007185,97.4564,152.5516,180.8402,179.2821,0,U,58702,999,4976,.69179E-3,.1423E-3,0
TIANMU-1 18,2024-004D,2024-11-29T02:37:57.768960,15.18508705,.0007015,97.4585,152.6428,172.1164,188.0181,0,U,58703,999,4976,.65195E-3,.13405E-3,0
INSAT-3DS,2024-033A,2024-11-28T21:11:42.648000,1.00271867,.0001433,0.0417,269.5985,343.3159,215.4081,0,U,58990,999,4140,0,-.129E-5,0
METEOR-M2 4,2024-039A,2024-11-29T04:14:02.072832,14.22307184,.0007386,98.6223,292.1962,15.1813,344.9585,0,U,59051,999,3894,.10654E-3,.194E-5,0
GOES 19,2024-119A,2024-11-26T20:29:14.109792,1.00270993,.0000669,0.0108,76.6733,242.1911,325.2754,0,U,60133,999,127,0,-.161E-5,0
